State,Year,Population
Minnesota,2014,5451079
Missouri,1980,4921966
Missouri,1981,4932064
Missouri,1982,4929451
Missouri,1983,4943733
Missouri,1984,4975278
Missouri,1985,5000268
Missouri,1986,5023068
Missouri,1987,5056696
Missouri,1988,5081736
Missouri,1989,5095830
Missouri,1990,5126370
Missouri,1991,5157770
Missouri,1992,5193686
Missouri,1993,5237757
Missouri,1994,5281206
Missouri,1995,5324610
Missouri,1996,5367888
Missouri,1997,5407113
Missouri,1998,5437562
Missouri,1999,5468338
Missouri,2000,5607285
Missouri,2001,5641142
Missouri,2002,5674825
Missouri,2003,5709403
Missouri,2004,5747741
Missouri,2005,5790300
Missouri,2006,5842704
Missouri,2007,5887612
Missouri,2008,5923916
Missouri,2009,5961088
Missouri,2010,5995974
Missouri,2011,6010275
Missouri,2012,6024367
Missouri,2013,6040715
Missouri,2014,6056202
Mississippi,1980,2525342
Mississippi,1981,2539036
Mississippi,1982,2556777
Mississippi,1983,2567717
Mississippi,1984,2578051
Mississippi,1985,2588102
Mississippi,1986,2593597
Mississippi,1987,2588545
Mississippi,1988,2580352
Mississippi,1989,2574269
Mississippi,1990,2577426
Mississippi,1991,2591230
Mississippi,1992,2610193
Mississippi,1993,2635574
Mississippi,1994,2663450
Mississippi,1995,2690788
Mississippi,1996,2709925
Mississippi,1997,2731826
Mississippi,1998,2751335
Mississippi,1999,2768619
Mississippi,2000,2848353
Mississippi,2001,2852994
Mississippi,2002,2858681
Mississippi,2003,2868312
Mississippi,2004,2889010
Mississippi,2005,2905943
Mississippi,2006,2904978
Mississippi,2007,2928350
Mississippi,2008,2947806
Mississippi,2009,2958774
Mississippi,2010,2970548
Mississippi,2011,2978731
Mississippi,2012,2983816
Mississippi,2013,2988711
Mississippi,2014,2990468
Montana,1980,788752
Montana,1981,795328
Montana,1982,803986
Montana,1983,814031
Montana,1984,820905
Montana,1985,822320
Montana,1986,813739
Montana,1987,805063
Montana,1988,800202
Montana,1989,799636
Montana,1990,799824
Montana,1991,807837
Montana,1992,822436
Montana,1993,839876
Montana,1994,854923
Montana,1995,868522
Montana,1996,876656
Montana,1997,878706
Montana,1998,879533
Montana,1999,882779
Montana,2000,903773
Montana,2001,906961
Montana,2002,911667
Montana,2003,919630
Montana,2004,930009
Montana,2005,940102
Montana,2006,952692
Montana,2007,964706
Montana,2008,976415
Montana,2009,983982
Montana,2010,990697
Montana,2011,997316
Montana,2012,1003783
Montana,2013,1013569
Montana,2014,1021869
North Carolina,1980,5898980
North Carolina,1981,5956653
North Carolina,1982,6019101
North Carolina,1983,6077056
North Carolina,1984,6164006
North Carolina,1985,6253954
North Carolina,1986,6321578
North Carolina,1987,6403700
North Carolina,1988,6480594
North Carolina,1989,6565459
North Carolina,1990,6656987
North Carolina,1991,6748135
North Carolina,1992,6831850
North Carolina,1993,6947412
North Carolina,1994,7060959
North Carolina,1995,7185403
North Carolina,1996,7307658
North Carolina,1997,7428672
North Carolina,1998,7545828
North Carolina,1999,7650789
North Carolina,2000,8081614
North Carolina,2001,8210122
North Carolina,2002,8326201
North Carolina,2003,8422501
North Carolina,2004,8553152
North Carolina,2005,8705407
North Carolina,2006,8917270
North Carolina,2007,9118037
North Carolina,2008,9309449
North Carolina,2009,9449566
North Carolina,2010,9574323
North Carolina,2011,9657592
North Carolina,2012,9749476
North Carolina,2013,9843336
North Carolina,2014,9932887
North Dakota,1980,654380
North Dakota,1981,659505
North Dakota,1982,668972
North Dakota,1983,676688
North Dakota,1984,680497
North Dakota,1985,676980
North Dakota,1986,669512
North Dakota,1987,661136
North Dakota,1988,655331
North Dakota,1989,646351
North Dakota,1990,637364
North Dakota,1991,634199
North Dakota,1992,635427
North Dakota,1993,637229
North Dakota,1994,639762
North Dakota,1995,641548
North Dakota,1996,642858
North Dakota,1997,640945
North Dakota,1998,637808
North Dakota,1999,633666
North Dakota,2000,642023
North Dakota,2001,639062
North Dakota,2002,638168
North Dakota,2003,638817
North Dakota,2004,644705
North Dakota,2005,646089
North Dakota,2006,649422
North Dakota,2007,652822
North Dakota,2008,657569
North Dakota,2009,664968
North Dakota,2010,674715
North Dakota,2011,685225
North Dakota,2012,701176
North Dakota,2013,722036
North Dakota,2014,737401
Nebraska,1980,1572296
Nebraska,1981,1578515
Nebraska,1982,1581780
Nebraska,1983,1584293
Nebraska,1984,1588639
Nebraska,1985,1584664
Nebraska,1986,1574333
Nebraska,1987,1566547
Nebraska,1988,1571477
Nebraska,1989,1574864
Nebraska,1990,1580664
Nebraska,1991,1590805
Nebraska,1992,1602406
Nebraska,1993,1612149
Nebraska,1994,1621551
Nebraska,1995,1635142
Nebraska,1996,1647657
Nebraska,1997,1656042
Nebraska,1998,1660772
Nebraska,1999,1666028
Nebraska,2000,1713820
Nebraska,2001,1719836
Nebraska,2002,1728292
Nebraska,2003,1738643
Nebraska,2004,1749370
Nebraska,2005,1761497
Nebraska,2006,1772693
Nebraska,2007,1783440
Nebraska,2008,1796378
Nebraska,2009,1812683
Nebraska,2010,1829542
Nebraska,2011,1840672
Nebraska,2012,1853303
Nebraska,2013,1865279
Nebraska,2014,1879321
New Hampshire,1980,924250
New Hampshire,1981,936621
New Hampshire,1982,947719
New Hampshire,1983,958134
New Hampshire,1984,976864
New Hampshire,1985,996753
New Hampshire,1986,1025053
New Hampshire,1987,1054289
New Hampshire,1988,1082577
New Hampshire,1989,1104522
New Hampshire,1990,1111831
New Hampshire,1991,1107055
New Hampshire,1992,1112766
New Hampshire,1993,1122191
New Hampshire,1994,1133054
New Hampshire,1995,1145604
New Hampshire,1996,1160768
New Hampshire,1997,1173239
New Hampshire,1998,1185823
New Hampshire,1999,1201134
New Hampshire,2000,1239882
New Hampshire,2001,1255517
New Hampshire,2002,1269089
New Hampshire,2003,1279840
New Hampshire,2004,1290121
New Hampshire,2005,1298492
New Hampshire,2006,1308389
New Hampshire,2007,1312540
New Hampshire,2008,1315906
New Hampshire,2009,1316102
New Hampshire,2010,1316762
New Hampshire,2011,1320202
New Hampshire,2012,1324232
New Hampshire,2013,1326622
New Hampshire,2014,1333341
New Jersey,1980,7376330
New Jersey,1981,7407472
New Jersey,1982,7430968
New Jersey,1983,7467785
New Jersey,1984,7515473
New Jersey,1985,7565528
New Jersey,1986,7622159
New Jersey,1987,7670742
New Jersey,1988,7712333
New Jersey,1989,7726089
New Jersey,1990,7757158
New Jersey,1991,7784269
New Jersey,1992,7827770
New Jersey,1993,7874891
New Jersey,1994,7918796
New Jersey,1995,7965523
New Jersey,1996,8009624
New Jersey,1997,8054178
New Jersey,1998,8095542
New Jersey,1999,8143412
New Jersey,2000,8430621
New Jersey,2001,8492671
New Jersey,2002,8552643
New Jersey,2003,8601402
New Jersey,2004,8634561
New Jersey,2005,8651974
New Jersey,2006,8661679
New Jersey,2007,8677885
New Jersey,2008,8711090
New Jersey,2009,8755602
New Jersey,2010,8799446
New Jersey,2011,8828117
New Jersey,2012,8844942
New Jersey,2013,8856972
New Jersey,2014,8864525
New Mexico,1980,1309400
New Mexico,1981,1332748
New Mexico,1982,1363823
New Mexico,1983,1394361
New Mexico,1984,1416717
New Mexico,1985,1438361
New Mexico,1986,1462729
New Mexico,1987,1478520
New Mexico,1988,1490337
New Mexico,1989,1503901
New Mexico,1990,1519933
New Mexico,1991,1547115
New Mexico,1992,1580750
New Mexico,1993,1614937
New Mexico,1994,1653329
New Mexico,1995,1682417
New Mexico,1996,1706151
New Mexico,1997,1722939
New Mexico,1998,1733535
New Mexico,1999,1739844
New Mexico,2000,1821204
New Mexico,2001,1831690
New Mexico,2002,1855309
New Mexico,2003,1877574
New Mexico,2004,1903808
New Mexico,2005,1932274
