State,Year,total,Rank
Washington,1980,222,24.0
Washington,2000,203,21.0
Washington,2010,175,24.0
West Virginia,1980,134,35.0
West Virginia,1990,110,31.0
West Virginia,2000,64,34.0
West Virginia,2010,57,38.0
Wisconsin,1990,238,25.0
Wisconsin,2000,172,24.0
Wisconsin,2010,170,27.0
Wisconsin,1980,145,32.0
Wyoming,1980,34,45.0
Wyoming,1990,23,44.0
Wyoming,2000,12,46.0
Wyoming,2010,8,50.0
