State,Year,Perpetrator Sex,Weapon,Crime Solved,Solved Total
Alabama,1983,Unknown,Poison,No,1
Alabama,1983,Unknown,Rifle,No,1
Alabama,1983,Unknown,Shotgun,No,2
Alabama,1983,Unknown,Strangulation,No,4
Alabama,1983,Unknown,Unknown,No,3
Alabama,1984,Female,Blunt Object,Yes,3
Alabama,1984,Female,Handgun,Yes,32
Alabama,1984,Female,Knife,Yes,13
Alabama,1984,Female,Poison,Yes,1
Alabama,1984,Female,Rifle,Yes,3
Alabama,1984,Female,Shotgun,Yes,3
Alabama,1984,Female,Unknown,Yes,1
Alabama,1984,Male,Blunt Object,Yes,24
Alabama,1984,Male,Drowning,Yes,1
Alabama,1984,Male,Fire,Yes,1
Alabama,1984,Male,Firearm,Yes,1
Alabama,1984,Male,Handgun,Yes,134
Alabama,1984,Male,Knife,Yes,51
Alabama,1984,Male,Rifle,Yes,14
Alabama,1984,Male,Shotgun,Yes,49
Alabama,1984,Male,Strangulation,Yes,4
Alabama,1984,Male,Suffocation,Yes,1
Alabama,1984,Male,Unknown,Yes,5
Alabama,1984,Unknown,Blunt Object,No,8
Alabama,1984,Unknown,Drowning,No,1
Alabama,1984,Unknown,Fire,No,2
Alabama,1984,Unknown,Handgun,No,14
Alabama,1984,Unknown,Knife,No,5
Alabama,1984,Unknown,Rifle,No,1
Alabama,1984,Unknown,Shotgun,No,2
Alabama,1984,Unknown,Strangulation,No,2
Alabama,1984,Unknown,Unknown,No,6
Alabama,1985,Female,Drowning,Yes,1
Alabama,1985,Female,Firearm,Yes,1
Alabama,1985,Female,Handgun,Yes,32
Alabama,1985,Female,Knife,Yes,27
Alabama,1985,Female,Rifle,Yes,1
Alabama,1985,Female,Shotgun,Yes,5
Alabama,1985,Male,Blunt Object,Yes,19
Alabama,1985,Male,Drowning,Yes,1
Alabama,1985,Male,Firearm,Yes,4
Alabama,1985,Male,Handgun,Yes,138
Alabama,1985,Male,Knife,Yes,64
Alabama,1985,Male,Rifle,Yes,20
Alabama,1985,Male,Shotgun,Yes,36
Alabama,1985,Male,Unknown,Yes,4
Alabama,1985,Unknown,Blunt Object,No,13
Alabama,1985,Unknown,Firearm,No,3
Alabama,1985,Unknown,Handgun,No,16
Alabama,1985,Unknown,Knife,No,4
Alabama,1985,Unknown,Rifle,No,1
Alabama,1985,Unknown,Shotgun,No,2
Alabama,1985,Unknown,Strangulation,No,1
Alabama,1985,Unknown,Unknown,No,4
Alabama,1986,Female,Blunt Object,Yes,1
Alabama,1986,Female,Fire,Yes,4
Alabama,1986,Female,Firearm,Yes,3
Alabama,1986,Female,Handgun,Yes,29
Alabama,1986,Female,Knife,Yes,16
Alabama,1986,Female,Rifle,Yes,2
Alabama,1986,Female,Shotgun,Yes,6
Alabama,1986,Female,Unknown,Yes,1
Alabama,1986,Male,Blunt Object,Yes,25
Alabama,1986,Male,Firearm,Yes,6
Alabama,1986,Male,Handgun,Yes,164
Alabama,1986,Male,Knife,Yes,53
Alabama,1986,Male,Rifle,Yes,24
Alabama,1986,Male,Shotgun,Yes,35
Alabama,1986,Male,Strangulation,Yes,1
Alabama,1986,Male,Unknown,Yes,4
Alabama,1986,Unknown,Blunt Object,No,2
Alabama,1986,Unknown,Handgun,No,20
Alabama,1986,Unknown,Knife,No,7
Alabama,1986,Unknown,Rifle,No,2
Alabama,1986,Unknown,Shotgun,No,1
Alabama,1986,Unknown,Unknown,No,1
Alabama,1987,Female,Blunt Object,Yes,1
Alabama,1987,Female,Handgun,Yes,36
Alabama,1987,Female,Knife,Yes,20
Alabama,1987,Female,Rifle,Yes,1
Alabama,1987,Female,Shotgun,Yes,2
Alabama,1987,Female,Unknown,Yes,1
Alabama,1987,Male,Blunt Object,Yes,27
Alabama,1987,Male,Fire,Yes,2
Alabama,1987,Male,Firearm,Yes,4
Alabama,1987,Male,Handgun,Yes,106
Alabama,1987,Male,Knife,Yes,34
Alabama,1987,Male,Rifle,Yes,14
Alabama,1987,Male,Shotgun,Yes,45
Alabama,1987,Male,Unknown,Yes,4
Alabama,1987,Unknown,Blunt Object,No,5
Alabama,1987,Unknown,Firearm,No,2
Alabama,1987,Unknown,Handgun,No,19
Alabama,1987,Unknown,Knife,No,7
Alabama,1987,Unknown,Rifle,No,2
Alabama,1987,Unknown,Shotgun,No,1
Alabama,1987,Unknown,Unknown,No,3
Alabama,1988,Female,Blunt Object,Yes,2
Alabama,1988,Female,Fire,Yes,2
Alabama,1988,Female,Firearm,Yes,1
Alabama,1988,Female,Handgun,Yes,30
Alabama,1988,Female,Knife,Yes,18
Alabama,1988,Female,Rifle,Yes,2
Alabama,1988,Female,Shotgun,Yes,3
Alabama,1988,Female,Unknown,Yes,2
Alabama,1988,Male,Blunt Object,Yes,17
Alabama,1988,Male,Explosives,Yes,1
Alabama,1988,Male,Firearm,Yes,7
Alabama,1988,Male,Handgun,Yes,157
Alabama,1988,Male,Knife,Yes,47
Alabama,1988,Male,Rifle,Yes,11
Alabama,1988,Male,Shotgun,Yes,51
Alabama,1988,Male,Unknown,Yes,4
Alabama,1988,Unknown,Blunt Object,No,3
Alabama,1988,Unknown,Firearm,No,3
Alabama,1988,Unknown,Handgun,No,16
Alabama,1988,Unknown,Knife,No,9
Alabama,1988,Unknown,Shotgun,No,2
Alabama,1988,Unknown,Unknown,No,1
Alabama,1989,Female,Blunt Object,Yes,1
Alabama,1989,Female,Drowning,Yes,3
Alabama,1989,Female,Handgun,Yes,29
Alabama,1989,Female,Knife,Yes,13
Alabama,1989,Female,Rifle,Yes,3
Alabama,1989,Female,Shotgun,Yes,2
Alabama,1989,Female,Unknown,Yes,1
Alabama,1989,Male,Blunt Object,Yes,22
Alabama,1989,Male,Firearm,Yes,7
Alabama,1989,Male,Handgun,Yes,156
Alabama,1989,Male,Knife,Yes,54
Alabama,1989,Male,Rifle,Yes,21
Alabama,1989,Male,Shotgun,Yes,46
Alabama,1989,Male,Unknown,Yes,8
Alabama,1989,Unknown,Blunt Object,No,5
Alabama,1989,Unknown,Explosives,No,1
Alabama,1989,Unknown,Fire,No,2
Alabama,1989,Unknown,Handgun,No,20
Alabama,1989,Unknown,Knife,No,10
Alabama,1989,Unknown,Rifle,No,3
Alabama,1989,Unknown,Shotgun,No,3
Alabama,1989,Unknown,Unknown,No,6
Alabama,1990,Female,Blunt Object,Yes,3
Alabama,1990,Female,Firearm,Yes,1
Alabama,1990,Female,Handgun,Yes,32
Alabama,1990,Female,Knife,Yes,18
Alabama,1990,Female,Rifle,Yes,3
Alabama,1990,Female,Shotgun,Yes,4
Alabama,1990,Female,Unknown,Yes,3
Alabama,1990,Male,Blunt Object,Yes,31
Alabama,1990,Male,Firearm,Yes,3
Alabama,1990,Male,Handgun,Yes,193
Alabama,1990,Male,Knife,Yes,59
Alabama,1990,Male,Rifle,Yes,22
Alabama,1990,Male,Shotgun,Yes,44
Alabama,1990,Male,Unknown,Yes,3
Alabama,1990,Unknown,Blunt Object,No,12
Alabama,1990,Unknown,Firearm,No,4
Alabama,1990,Unknown,Handgun,No,10
Alabama,1990,Unknown,Knife,No,7
Alabama,1990,Unknown,Shotgun,No,5
Alabama,1990,Unknown,Strangulation,No,2
Alabama,1990,Unknown,Suffocation,No,2
Alabama,1990,Unknown,Unknown,No,2
Alabama,1991,Female,Blunt Object,Yes,4
Alabama,1991,Female,Firearm,Yes,2
Alabama,1991,Female,Handgun,Yes,20
Alabama,1991,Female,Knife,Yes,10
Alabama,1991,Female,Rifle,Yes,1
Alabama,1991,Female,Shotgun,Yes,4
Alabama,1991,Female,Unknown,Yes,3
Alabama,1991,Male,Blunt Object,Yes,5
Alabama,1991,Male,Firearm,Yes,7
Alabama,1991,Male,Handgun,Yes,127
Alabama,1991,Male,Knife,Yes,20
Alabama,1991,Male,Rifle,Yes,13
Alabama,1991,Male,Shotgun,Yes,17
Alabama,1991,Male,Unknown,Yes,12
Alabama,1991,Unknown,Blunt Object,No,8
Alabama,1991,Unknown,Firearm,No,24
Alabama,1991,Unknown,Handgun,No,88
Alabama,1991,Unknown,Knife,No,30
Alabama,1991,Unknown,Rifle,No,5
Alabama,1991,Unknown,Shotgun,No,6
Alabama,1991,Unknown,Unknown,No,28
Alabama,1992,Female,Blunt Object,Yes,4
Alabama,1992,Female,Handgun,Yes,21
Alabama,1992,Female,Knife,Yes,17
Alabama,1992,Female,Rifle,Yes,2
Alabama,1992,Female,Shotgun,Yes,1
Alabama,1992,Female,Unknown,Yes,3
Alabama,1992,Male,Blunt Object,Yes,12
Alabama,1992,Male,Handgun,Yes,109
Alabama,1992,Male,Knife,Yes,28
Alabama,1992,Male,Poison,Yes,1
Alabama,1992,Male,Rifle,Yes,9
Alabama,1992,Male,Shotgun,Yes,13
Alabama,1992,Male,Unknown,Yes,30
Alabama,1992,Unknown,Blunt Object,No,6
Alabama,1992,Unknown,Handgun,No,66
Alabama,1992,Unknown,Knife,No,19
Alabama,1992,Unknown,Rifle,No,2
Alabama,1992,Unknown,Shotgun,No,7
Alabama,1992,Unknown,Unknown,No,41
Alabama,1993,Female,Blunt Object,Yes,2
Alabama,1993,Female,Gun,Yes,1
Alabama,1993,Female,Handgun,Yes,18
Alabama,1993,Female,Knife,Yes,14
Alabama,1993,Female,Unknown,Yes,4
Alabama,1993,Male,Blunt Object,Yes,11
Alabama,1993,Male,Handgun,Yes,155
Alabama,1993,Male,Knife,Yes,36
Alabama,1993,Male,Rifle,Yes,13
Alabama,1993,Male,Shotgun,Yes,35
Alabama,1993,Male,Unknown,Yes,59
Alabama,1993,Unknown,Blunt Object,No,7
Alabama,1993,Unknown,Handgun,No,63
Alabama,1993,Unknown,Knife,No,16
Alabama,1993,Unknown,Rifle,No,1
Alabama,1993,Unknown,Shotgun,No,2
Alabama,1993,Unknown,Unknown,No,40
Alabama,1994,Female,Blunt Object,Yes,3
Alabama,1994,Female,Handgun,Yes,32
Alabama,1994,Female,Knife,Yes,13
Alabama,1994,Female,Rifle,Yes,1
Alabama,1994,Female,Shotgun,Yes,3
Alabama,1994,Female,Unknown,Yes,4
Alabama,1994,Male,Blunt Object,Yes,13
Alabama,1994,Male,Handgun,Yes,194
Alabama,1994,Male,Knife,Yes,28
Alabama,1994,Male,Rifle,Yes,17
Alabama,1994,Male,Shotgun,Yes,32
Alabama,1994,Male,Unknown,Yes,20
Alabama,1994,Unknown,Blunt Object,No,15
Alabama,1994,Unknown,Handgun,No,90
Alabama,1994,Unknown,Knife,No,13
Alabama,1994,Unknown,Rifle,No,3
Alabama,1994,Unknown,Shotgun,No,2
Alabama,1994,Unknown,Unknown,No,18
Alabama,1995,Female,Blunt Object,Yes,3
Alabama,1995,Female,Handgun,Yes,25
Alabama,1995,Female,Knife,Yes,8
Alabama,1995,Female,Shotgun,Yes,1
Alabama,1995,Female,Suffocation,Yes,1
Alabama,1995,Female,Unknown,Yes,1
Alabama,1995,Male,Blunt Object,Yes,13
Alabama,1995,Male,Handgun,Yes,179
Alabama,1995,Male,Knife,Yes,28
Alabama,1995,Male,Rifle,Yes,5
Alabama,1995,Male,Shotgun,Yes,21
Alabama,1995,Male,Unknown,Yes,18
Alabama,1995,Unknown,Blunt Object,No,15
Alabama,1995,Unknown,Fire,No,1
Alabama,1995,Unknown,Handgun,No,109
Alabama,1995,Unknown,Knife,No,10
Alabama,1995,Unknown,Rifle,No,5
Alabama,1995,Unknown,Shotgun,No,7
Alabama,1995,Unknown,Unknown,No,17
Alabama,1996,Female,Blunt Object,Yes,3
Alabama,1996,Female,Handgun,Yes,15
Alabama,1996,Female,Knife,Yes,16
Alabama,1996,Female,Rifle,Yes,1
Alabama,1996,Female,Shotgun,Yes,1
Alabama,1996,Female,Unknown,Yes,3
Alabama,1996,Male,Blunt Object,Yes,13
Alabama,1996,Male,Handgun,Yes,159
Alabama,1996,Male,Knife,Yes,38
Alabama,1996,Male,Rifle,Yes,15
Alabama,1996,Male,Shotgun,Yes,14
Alabama,1996,Male,Unknown,Yes,17
Alabama,1996,Unknown,Blunt Object,No,2
Alabama,1996,Unknown,Gun,No,1
Alabama,1996,Unknown,Handgun,No,96
Alabama,1996,Unknown,Knife,No,9
Alabama,1996,Unknown,Rifle,No,7
Alabama,1996,Unknown,Shotgun,No,5
Alabama,1996,Unknown,Unknown,No,15
Alabama,1997,Female,Blunt Object,Yes,4
Alabama,1997,Female,Handgun,Yes,12
Alabama,1997,Female,Knife,Yes,17
Alabama,1997,Female,Unknown,Yes,6
Alabama,1997,Male,Blunt Object,Yes,13
Alabama,1997,Male,Fire,Yes,1
Alabama,1997,Male,Handgun,Yes,160
Alabama,1997,Male,Knife,Yes,29
Alabama,1997,Male,Rifle,Yes,14
Alabama,1997,Male,Shotgun,Yes,12
Alabama,1997,Male,Unknown,Yes,8
Alabama,1997,Unknown,Blunt Object,No,9
Alabama,1997,Unknown,Handgun,No,83
Alabama,1997,Unknown,Knife,No,12
Alabama,1997,Unknown,Rifle,No,1
Alabama,1997,Unknown,Shotgun,No,3
Alabama,1997,Unknown,Unknown,No,31
Alabama,1998,Female,Blunt Object,Yes,2
Alabama,1998,Female,Handgun,Yes,15
Alabama,1998,Female,Knife,Yes,8
Alabama,1998,Female,Rifle,Yes,1
Alabama,1998,Female,Unknown,Yes,5
Alabama,1998,Male,Blunt Object,Yes,12
Alabama,1998,Male,Handgun,Yes,107
Alabama,1998,Male,Knife,Yes,23
Alabama,1998,Male,Rifle,Yes,12
Alabama,1998,Male,Shotgun,Yes,10
Alabama,1998,Male,Unknown,Yes,30
Alabama,1998,Unknown,Blunt Object,No,7
Alabama,1998,Unknown,Handgun,No,49
Alabama,1998,Unknown,Knife,No,5
Alabama,1998,Unknown,Shotgun,No,1
Alabama,1998,Unknown,Unknown,No,56
Alabama,1999,Female,Blunt Object,Yes,1
Alabama,1999,Female,Handgun,Yes,2
Alabama,1999,Male,Handgun,Yes,5
Alabama,1999,Male,Knife,Yes,1
Alabama,1999,Male,Shotgun,Yes,1
Alabama,1999,Unknown,Firearm,No,1
Alabama,1999,Unknown,Handgun,No,4
Alabama,2000,Female,Blunt Object,Yes,3
Alabama,2000,Female,Handgun,Yes,7
Alabama,2000,Female,Knife,Yes,9
Alabama,2000,Female,Unknown,Yes,3
Alabama,2000,Male,Blunt Object,Yes,12
Alabama,2000,Male,Handgun,Yes,90
Alabama,2000,Male,Knife,Yes,23
Alabama,2000,Male,Rifle,Yes,6
Alabama,2000,Male,Shotgun,Yes,12
Alabama,2000,Male,Unknown,Yes,17
Alabama,2000,Unknown,Blunt Object,No,3
Alabama,2000,Unknown,Handgun,No,34
Alabama,2000,Unknown,Knife,No,2
Alabama,2000,Unknown,Rifle,No,2
Alabama,2000,Unknown,Shotgun,No,1
Alabama,2000,Unknown,Unknown,No,11
Alabama,2001,Female,Blunt Object,Yes,3
Alabama,2001,Female,Handgun,Yes,17
Alabama,2001,Female,Knife,Yes,9
Alabama,2001,Female,Unknown,Yes,5
Alabama,2001,Male,Blunt Object,Yes,19
Alabama,2001,Male,Handgun,Yes,175
Alabama,2001,Male,Knife,Yes,21
Alabama,2001,Male,Shotgun,Yes,26
Alabama,2001,Male,Unknown,Yes,58
Alabama,2001,Unknown,Handgun,No,8
Alabama,2001,Unknown,Knife,No,3
Alabama,2001,Unknown,Shotgun,No,1
Alabama,2001,Unknown,Unknown,No,2
Alabama,2002,Female,Blunt Object,Yes,1
Alabama,2002,Female,Handgun,Yes,11
Alabama,2002,Female,Knife,Yes,9
Alabama,2002,Female,Unknown,Yes,4
Alabama,2002,Male,Blunt Object,Yes,11
Alabama,2002,Male,Handgun,Yes,111
Alabama,2002,Male,Knife,Yes,17
Alabama,2002,Male,Shotgun,Yes,17
Alabama,2002,Male,Unknown,Yes,20
Alabama,2002,Unknown,Blunt Object,No,10
Alabama,2002,Unknown,Handgun,No,50
Alabama,2002,Unknown,Knife,No,9
Alabama,2002,Unknown,Shotgun,No,1
Alabama,2002,Unknown,Unknown,No,21
Alabama,2003,Female,Blunt Object,Yes,3
Alabama,2003,Female,Handgun,Yes,10
Alabama,2003,Female,Knife,Yes,6
Alabama,2003,Female,Shotgun,Yes,1
Alabama,2003,Female,Unknown,Yes,2
Alabama,2003,Male,Blunt Object,Yes,13
Alabama,2003,Male,Drowning,Yes,1
Alabama,2003,Male,Handgun,Yes,101
Alabama,2003,Male,Knife,Yes,14
Alabama,2003,Male,Shotgun,Yes,16
Alabama,2003,Male,Unknown,Yes,16
Alabama,2003,Unknown,Blunt Object,No,9
Alabama,2003,Unknown,Handgun,No,76
Alabama,2003,Unknown,Knife,No,8
Alabama,2003,Unknown,Shotgun,No,5
Alabama,2003,Unknown,Unknown,No,14
Alabama,2004,Female,Blunt Object,Yes,5
Alabama,2004,Female,Handgun,Yes,6
Alabama,2004,Female,Knife,Yes,8
Alabama,2004,Female,Shotgun,Yes,1
Alabama,2004,Female,Unknown,Yes,4
Alabama,2004,Male,Blunt Object,Yes,13
Alabama,2004,Male,Firearm,Yes,1
Alabama,2004,Male,Handgun,Yes,99
Alabama,2004,Male,Knife,Yes,17
Alabama,2004,Male,Shotgun,Yes,21
Alabama,2004,Male,Unknown,Yes,19
Alabama,2004,Unknown,Blunt Object,No,3
Alabama,2004,Unknown,Handgun,No,34
Alabama,2004,Unknown,Unknown,No,22
Alabama,2005,Female,Blunt Object,Yes,1
Alabama,2005,Female,Handgun,Yes,10
Alabama,2005,Female,Knife,Yes,6
Alabama,2005,Female,Shotgun,Yes,1
Alabama,2005,Female,Unknown,Yes,9
Alabama,2005,Male,Blunt Object,Yes,12
Alabama,2005,Male,Firearm,Yes,1
Alabama,2005,Male,Handgun,Yes,147
Alabama,2005,Male,Knife,Yes,15
Alabama,2005,Male,Rifle,Yes,2
Alabama,2005,Male,Shotgun,Yes,8
Alabama,2005,Male,Unknown,Yes,33
Alabama,2005,Unknown,Blunt Object,No,6
Alabama,2005,Unknown,Handgun,No,50
Alabama,2005,Unknown,Knife,No,4
Alabama,2005,Unknown,Rifle,No,2
Alabama,2005,Unknown,Shotgun,No,3
Alabama,2005,Unknown,Unknown,No,17
Alabama,2006,Female,Blunt Object,Yes,2
Alabama,2006,Female,Handgun,Yes,8
Alabama,2006,Female,Knife,Yes,6
Alabama,2006,Female,Shotgun,Yes,3
Alabama,2006,Female,Unknown,Yes,3
Alabama,2006,Male,Blunt Object,Yes,12
Alabama,2006,Male,Handgun,Yes,167
Alabama,2006,Male,Knife,Yes,25
Alabama,2006,Male,Shotgun,Yes,15
Alabama,2006,Male,Unknown,Yes,29
Alabama,2006,Unknown,Blunt Object,No,5
Alabama,2006,Unknown,Handgun,No,56
Alabama,2006,Unknown,Knife,No,6
Alabama,2006,Unknown,Shotgun,No,5
Alabama,2006,Unknown,Unknown,No,16
Alabama,2007,Female,Blunt Object,Yes,1
Alabama,2007,Female,Fire,Yes,2
Alabama,2007,Female,Handgun,Yes,18
Alabama,2007,Female,Knife,Yes,8
Alabama,2007,Female,Unknown,Yes,7
Alabama,2007,Male,Blunt Object,Yes,19
Alabama,2007,Male,Drowning,Yes,1
Alabama,2007,Male,Handgun,Yes,173
Alabama,2007,Male,Knife,Yes,24
Alabama,2007,Male,Rifle,Yes,7
Alabama,2007,Male,Shotgun,Yes,12
Alabama,2007,Male,Strangulation,Yes,1
Alabama,2007,Male,Unknown,Yes,25
Alabama,2007,Unknown,Blunt Object,No,4
Alabama,2007,Unknown,Handgun,No,77
Alabama,2007,Unknown,Knife,No,6
Alabama,2007,Unknown,Shotgun,No,4
Alabama,2007,Unknown,Unknown,No,3
Alabama,2008,Female,Handgun,Yes,6
Alabama,2008,Female,Knife,Yes,5
Alabama,2008,Female,Shotgun,Yes,2
Alabama,2008,Female,Unknown,Yes,2
Alabama,2008,Male,Blunt Object,Yes,14
Alabama,2008,Male,Handgun,Yes,184
Alabama,2008,Male,Knife,Yes,17
Alabama,2008,Male,Rifle,Yes,1
Alabama,2008,Male,Shotgun,Yes,15
Alabama,2008,Male,Unknown,Yes,16
Alabama,2008,Unknown,Blunt Object,No,4
Alabama,2008,Unknown,Handgun,No,51
Alabama,2008,Unknown,Knife,No,2
Alabama,2008,Unknown,Shotgun,No,3
Alabama,2008,Unknown,Unknown,No,16
Alabama,2009,Female,Blunt Object,Yes,3
Alabama,2009,Female,Handgun,Yes,9
Alabama,2009,Female,Knife,Yes,5
Alabama,2009,Female,Shotgun,Yes,1
Alabama,2009,Female,Unknown,Yes,2
Alabama,2009,Male,Blunt Object,Yes,12
Alabama,2009,Male,Handgun,Yes,139
Alabama,2009,Male,Knife,Yes,19
Alabama,2009,Male,Rifle,Yes,1
Alabama,2009,Male,Shotgun,Yes,29
Alabama,2009,Male,Unknown,Yes,27
Alabama,2009,Unknown,Blunt Object,No,5
Alabama,2009,Unknown,Handgun,No,48
Alabama,2009,Unknown,Knife,No,5
Alabama,2009,Unknown,Shotgun,No,2
Alabama,2009,Unknown,Unknown,No,11
Alabama,2010,Female,Blunt Object,Yes,5
Alabama,2010,Female,Handgun,Yes,6
Alabama,2010,Female,Knife,Yes,9
Alabama,2010,Female,Shotgun,Yes,2
Alabama,2010,Female,Unknown,Yes,1
Alabama,2010,Male,Blunt Object,Yes,9
Alabama,2010,Male,Handgun,Yes,79
Alabama,2010,Male,Knife,Yes,11
Alabama,2010,Male,Shotgun,Yes,16
Alabama,2010,Male,Unknown,Yes,10
Alabama,2010,Unknown,Blunt Object,No,3
Alabama,2010,Unknown,Handgun,No,25
Alabama,2010,Unknown,Knife,No,3
Alabama,2010,Unknown,Unknown,No,12
Alabama,2012,Male,Handgun,Yes,1
Alabama,2012,Male,Unknown,Yes,1
Alabama,2013,Female,Handgun,Yes,1
Alabama,2013,Male,Knife,Yes,1
Alabama,2014,Male,Handgun,Yes,1
Alaska,1980,Female,Handgun,Yes,2
Alaska,1980,Female,Rifle,Yes,2
Alaska,1980,Male,Blunt Object,Yes,4
Alaska,1980,Male,Drowning,Yes,1
Alaska,1980,Male,Fall,Yes,1
Alaska,1980,Male,Firearm,Yes,1
Alaska,1980,Male,Handgun,Yes,4
Alaska,1980,Male,Knife,Yes,5
Alaska,1980,Male,Rifle,Yes,13
Alaska,1980,Male,Shotgun,Yes,2
Alaska,1980,Male,Strangulation,Yes,2
Alaska,1980,Unknown,Firearm,No,3
Alaska,1980,Unknown,Handgun,No,2
Alaska,1980,Unknown,Unknown,No,5
Alaska,1981,Female,Handgun,Yes,3
Alaska,1981,Female,Knife,Yes,1
Alaska,1981,Female,Rifle,Yes,2
Alaska,1981,Female,Strangulation,Yes,1
Alaska,1981,Male,Drowning,Yes,2
Alaska,1981,Male,Fire,Yes,1
Alaska,1981,Male,Handgun,Yes,22
Alaska,1981,Male,Knife,Yes,4
Alaska,1981,Male,Rifle,Yes,13
Alaska,1981,Male,Shotgun,Yes,10
Alaska,1981,Male,Suffocation,Yes,1
Alaska,1981,Male,Unknown,Yes,2
Alaska,1981,Unknown,Blunt Object,No,1
Alaska,1981,Unknown,Firearm,No,1
Alaska,1981,Unknown,Handgun,No,2
Alaska,1981,Unknown,Knife,No,2
Alaska,1981,Unknown,Strangulation,No,1
Alaska,1982,Female,Blunt Object,Yes,1
Alaska,1982,Female,Handgun,Yes,3
Alaska,1982,Female,Rifle,Yes,1
Alaska,1982,Male,Blunt Object,Yes,4
Alaska,1982,Male,Handgun,Yes,21
Alaska,1982,Male,Knife,Yes,4
Alaska,1982,Male,Rifle,Yes,9
Alaska,1982,Male,Shotgun,Yes,2
Alaska,1982,Male,Strangulation,Yes,1
Alaska,1982,Male,Unknown,Yes,1
Alaska,1982,Unknown,Blunt Object,No,2
Alaska,1982,Unknown,Fire,No,1
